Yorum;Kategori
Uygulamayý açýnca þifre veya faceID ile girince çok yavaþ açýlýyor ve bazen açýlmýyor hata veriyor kapatýp tekrar açýlmasý gerekiyoe geliþtirilmesi gerekiyor papara da bu sorun yok;Yavaþ
Fazlasýný hak etmiyor;Genel Memnuniyetsizlik
Geri kalmýþ mobil uygulamasý personelleriniz yata yata maaþ alýyor;Genel Memnuniyetsizlik
Uygulama çok zor açýlýyor ve kýsýtlý çalýþýyor;Yavaþ
Mobil bankacýlýkta yaþadýðým kullaným zorluklarý;Kullanýþsýz
Banka kartý seçeneði olmamasý,kart limiti belirlenebilirken vu kartýn sadece kredi kartý limitini kapsamasý gibi basit baþka bankalarýn uygulamalarýnda hiç karþýlaþmadýðým sorunlarla karþýlaþmýþ olmam.;Fonksiyon Eksikliði
Geç giriyor bazen kendi kendine kapaniyor;Çalýþmýyor - Hata Veriyor
Her yönüyle kötü;Kullanýþsýz
Her yerde ATM ya da döviz bozdurma merkezi yok lütfen sorunu çözün.Teþekkürler;ATM
Müþteriler olarak bizler genellikle hassas Müslümanlar olduðumuz için bizi koyun zannetmeyin ,þu anda bütün hizmetlerimizden þikayetçiyim,hele banka içinde yenilenen numaralar sistemi tamamen berbat,aileden biri olarak sizi uyarýyorum,her þey para deðildir,,,Akderviþ;Genel Memnuniyetsizlik
"Albaraka atm..lerþnden þikayetim yok 
fakat  anlaþmalý PTT...atm sinden para çekemiyorum... bazen çalýþýyor bazen çalýþmýyor... bence baþka bir banka ile anlaþma yapýlsa iyi olur... mesela ziraat bankasý...her ilde ilçede þubesi var...";ATM
Telefonum da 10 adet mobil banka uygulamasý var. Sizin ki inanýlmaz yavaþ çalýþýyor. Ýndirirken yorumlarda bundan çok bahsedilmiþti. Dedim abartýyorlar. Ama aynen dedikleri çýktý. IT ve Ar ge çok çalýþmalý ya da yatýrýma bütçe ayrýlmalý.;Yavaþ
Sýk sýk hata veriyor,diðer bankalarda karþýlaþmadýðým sorunlarla karþýlaþýyorum;Çalýþmýyor - Hata Veriyor
Çok yavaþ çalýþýyor. Çok sýk kesinti oluyor. Ýþlem için baþka sayfa açýldýðýnda ( WhatsApp, mesajlar vb.) kapanýyor.;Yavaþ
Çok yavaþ telefonu kasýyor halk bank mobil anýnda açýlýyor fakat Albaraka mobil dakkalar geçýyor zor açýlýyor;Yavaþ
Altýn alým satýmlarýnda makas çok yüksek.alýrken komþsyon veriyoruz ama eskiden en fazla 3-4 puan olurken þimdi 25 puan seviyekerinde.kabul edilemez;Kur Marjý
Çok yavaþ mobil þubeniz var;Yavaþ
Albarakatürk islami hassasiyetine 10, personel sýfýr,  ortalamasý 5 yapýyor...;Personel
Uygulama çok yavaþ ve içerik çok boþ;Yavaþ
Ýnternet þubesine olan þikayetlerim nedeniyle;Ýnternet Þubesi
Mobil þube çok kullanýþlý deðil. Güncellenmesi gerekiyor.;Kullanýþsýz
En ihtiyaç olduðu anda sistem tekrar tekrar kapanýp yeniden Bilgiler soruyor, þifre soruyor.Sistem yine kapanýyor;Çalýþmýyor - Hata Veriyor
application is slow;Yavaþ
Çok gereksiz pin giriþi istiyor;Aþýrý Güvenlik
Çok vasat ve hiç gelistirilmedi;Kullanýþsýz
Kötü;Kullanýþsýz
Sisteminiz çok aðýr çalýþýyor;Yavaþ
Özellikler bulma çözümü gibi, diðer banka uygulamalarý gibi (Kuveyttürk,emlak katýlým)gibikolay ulaþýlmasý lazým;Kullanýþsýz
Geliþme lazým;Kullanýþsýz
Baþka hizmetler olamaz mý;Fonksiyon Eksikliði
Kredi kartý ve kredi islemlerinde maaþ hesabýmýz olmasýna raðmen seçici davranmaniz;Kart
Memnuniyetle Esenyurt þubenizin rezillikleri bezdirdi bizi.Sizin nasýl zamanýnýz kýymetli ise müþterilerinizinde zamaný kýymetlidir.Her þubeye gidiþimizde 45 dakikadan aþaðýya iþlemlerimizi sonlandýramýyoruz. Ýçerde bir sürü müþteri varken bir tane peronun çalýþmasý diðer ikisinin ne hikmetse ya birinde kimse olmaz yada ikisi birden bankanýn kendi iþleri yapmasý yüzünden bitmeyen tartýþmalar.Böyle bankacýlýk olmaz banka kendi iþlerini ya mesaiden önce yada mesaiden sonra müþteri yokken halleder.Ýçersi ana baba günü gibi peronlardaki çalýþanlar yada zanndersem müdür olacak kiþi hiç umarsamaz bir þekilde 8 saatim dolsunda gideyim havasýnda.Anlaþýlmaz bir þekilde müþterilerin üçte ikisi arap olduðu halde çalýþanlardan yanlýzca birisi arapça biliyor.Buda bu peronda yýðýlmalara yol açýyor.Adam zaten bir müþteriyi 30 dakikadan aþaðýya gönderemiyor.Ya arap müþterileriniz için baþka bir þube açýn yada bütün çalýþanlarýnýzýn arapça bilmesini saðlayýn arap müþterilerede yazýk çalýþanlarada.Söyleyince göreclilere yönetime þikayet edin diyorlar biz sanki albaraka yönetiminin þikayetlerin çokda umurlarýnda olmadýklarýný bilmiyoruz.Sizde yazýn biz okuruz ama saatimizi biliriz bizene sizin çektiðiniz sýkýntýlardan dediðinizide çok iyi biliyoruz.Sýrf bu bekleyiþlerin yüzünden sizdeki toplu paramý çekip baþka bir bankaya yatýrdým çok huzurluyum.Yanlýz emekli aylýðým kaldý sizde inþaallah en yakýn zamanda onuda baþka bir bankaya yönlendireceðim.Kendi paramýzla sizin þubelerinizde rezillikler yaþýyoruz.Hiçbir yerde bankamatiklerinizin olmadýðýndan bahsetmiyorum bile..;Þube
Kesintiler;Çalýþmýyor - Hata Veriyor
"Çok yavaþ , donuyor ve güncelleme çok geç .
Örn; 1 döviz alýþ-satýþ iþlemi için  bir kaç defa ayný iþlemi yapmanýz gerekli . Onaylýyorsunuz ama iþlem gerçekleþmemiþ. 
Kredi kartý ödemesi yapýyorsunuz ama limit güncellenmiyor .";Yavaþ
Ziraat Bankasýnýn, Ýþ bankasýnýn mobil bankacýlýðýndan çok geridesiniz. Biraz önce müþteri hizmetlerini aradým. Fast üzerinden para gönderme yapýlýr iken hafýzadan iban çaðrýlamýyor bunun çözülmesi gerekiyor dedim. Baþka önerilerim de oldu. Sistem ile ilgili önerinizi kayda alamam diye söylendi. Madem mobil bankacýlýk ile ilgili eksikliðinizi görmek ve çözmek istemiyorsunuz o zaman bu anketi niye yapýyorsunuz? Böyle olursa Al Baraka bir çok müþterisini kaybedecek. Yeniliklere kapýnýzý kapatmýþsýnýz. Müþteri önerileri sizin için önemli deðil.;Kullanýþsýz
Mobil þube ilk sayfa açýlýmý çok yavaþ , eft iþlemlerinin her zaman  yapýlmasýný istiyoruz;Yavaþ
Mobil þubeye geç giriþ oluyor iþlemler çok yavaþ birde habersiz Albaraka fýx ý kapatarak çok müþteri kaybýnýz oldu en kýsa zaman da ben de baþka bi bankayla anlaþýp hesaplarýmý kapatmayý düþünüyorum;AlbaFX
Çok kötü.;Kullanýþsýz
Mobil bankacýlýk sisteminiz para transferi yaparken ve elektrik su telekom ödemeleri yaparken en son adýma geldiðinde sistem donuyor en baþa tekrar dönüyorsun;Çalýþmýyor - Hata Veriyor
Oldukça yavaþ;Yavaþ
Giþede çok yavaþ iþlem yapýlýyor;Yavaþ
Çok aðýr bir çok iþlem yapýlmýyor kötü bir uygulama var;Yavaþ
Aþýrý güvenlik;Aþýrý Güvenlik
Yalnýzca telefonda yavaþ ve aðýr;Yavaþ
Agir;Yavaþ
Sýfýrlýktq ondan;Genel Memnuniyetsizlik
"Birden fazla baþka banklarda hesablarým var
Diðer bankalarýn telefon bankacýlýðýn uygulamalarý hepsi daha hýzlý ve daha kullanýþlý artý olarak not olarak eklemek istediðim bir notum var sizin  uygulamanýzýn üzerinden banka kartlarýn gözükmüyor ve onlarla alakalý hiç bir iþlem uygulama üzerinden yapamazsýn sadece kredi kartlarýn gözükür onu çözerseniz ve uygulamanýn müþteri ara yüzünü geliþterirseniz daha iyi olur";Yavaþ
Bankada çalýþan Cumhuriyet Mahlisi Esenyurt þubesi birkaç kez Al Baraka Bank'tan para çekmek için benden komisyon istiyor yani Al Baraka'da hesap açýyorum Shrein Avler þubesi benden para çekmemi istiyor sadece ???? Tedavisi bana karþý kötüydü.;Þube
Daha fonksiyonel olabilir;Kullanýþsýz
Çalýþtýðým þubeden hiç memnun deðilim;Þube
Maðdur edip hýzlý bir þekilde  çözmüyorsunuz;Genel Memnuniyetsizlik
Hiçbirþeyin düzgün deðil hizmet sýfýr zaten yalan dolan;Genel Memnuniyetsizlik
Uygulama yavaþ bide mobil bildirim yok;Yavaþ
Kos koca SAKARYA'da bir tane bankamatiðiniz var. Oda bazen çalýþmýyor. Birde  Akþam saatlerinde bankamatikten bara çekeyim dediðimde eðer kartým yanýmda yoksa yandým internet bankacýlýðýndaki karekod kullanamýyoruz nedenmi çünkü panele güneþ vuruyormuþ ekran karekodu okumuyor. ?? Daha varda bunlarý halledildiðini görelim.;ATM
Uygulama çok yawaþ ve çok kýsýtlý;Yavaþ
Sürekli donup uygulama dýþýna atýyor.;Çalýþmýyor - Hata Veriyor
Yalova'daki banka þubesi çok kalabalýk özellikle Araplar ve Iraklýlar müþteri sayýsýndaki artýþtan dolayý bankanýn bu þehirde baþka bir þubeye ihtiyacý var.Aksi takdirde çoðu baþka bankalarda hesap açmayý düþünüyor.;Þube
Mobil bankacýlýk hiç çalýþmýyor para gönderemiyorum;Çalýþmýyor - Hata Veriyor
Site açýlýrken geç açýlýyor.;Yavaþ
Uygulamanýn ana arayüzünün güncellenmesi gerekiyor;Kullanýþsýz
Genelde geç açýlýyor, hata veriyor, ekraný kullanýþlý deðil, diðer bankalara göre çok eksik buluyorum, çünkü diðer bankalarý da kullanýyorum;Yavaþ
Bize ATM kartýnýn hazýr olduðu sözü verildi ve þubeyi incelediðimizde 2 ay sonra almaya geldiðimi belirterek orada olmadýðý görüldü.;Kart
Çok fazla güvenlik bilgisi isteniyor;Aþýrý Güvenlik
Para göndermede gecikme;Para Transferi
Havale Eft lerde Ara Ara Hata alýyorum;Çalýþmýyor - Hata Veriyor
kredi kart basvurusu yapmayi engelliyor.diger bankalar engellemiyor.ekran goruntusu eski duruyor;Kart
Kredi kartý Limit artýrýmý halen sorgulanmasý ve yavaþ iþleyiþi;Yavaþ
Ýnter net bakacýlýðýnýz berbat hiç bir þekli ile yardýmcý olunmuyor hele hele yurt dýþýnda insaný bezdiriyor rezil oluyoruz paramýzla;Kullanýþsýz
Bildirimler çok geç geliyor ve detaylarý paylasilmiyor.;Bildirimler Geç Geliyor
Yetesiz;Kullanýþsýz
"Ýnternet bankacýlýðýnýz çok aðýr, her ankette söylüyorum ama deðiþen bir þey yok.
Açýlýþ bile merasimle bekle ki açýlsýn.
Son anketimdir...";Yavaþ
Giriþte bayaðý bir sýkýntý oluyor;Login Problemi
Omniyat Metro, Fatih Ýstanbul veya Ýstanbul Metrosu, Esenler Duraðý veya Topkapý Metro Duraðýna yakýn bir ATM þubesi istiyoruz.;ATM
Uygulamadaki teknik sorunlar ve diðer bankalarýn uygulamalarýna göre iþlemlerin zorluðu;Kullanýþsýz
Çünkü bilgisayar kullanmaya kýyasla bununla baþa çýkmayý hala zor buluyorum.;Kullanýþsýz
Uygulama yanýt vermekte yavaþ;Yavaþ
Bölgelerde ATM olmamasýndan dolayý Gmuþ Bala'da ve Balkan AVM yanýnda ATM olmasý gerekmektedir.;ATM
Ýnternette bir sorun olmadýðý halde baðlanmakta çok zorluk çekiyor uygulama diðerlerine göre çok amatörce;Login Problemi
Birincisi, müþteri iþlerini hýzlý bir þekilde yönetecek ek çalýþan yok ama çoðu zaman saatlerce bekliyoruz, ikincisi, bir ay önce Visa kartý baþvurusunda bulundum ve bugüne kadar almadým.;Þube
Þehirlerde merkezlerin olmamasý;Þube
Sisteminizde hep bir sorun oluyor para transferi sýrasýnda.musteri hizmetlerini aradigimda sistemimizde sorun yok  deyip gecistiriyor.ama ben sorun yaþadim çok kez .;Çalýþmýyor - Hata Veriyor
Albaraka mobil çok aðýr çok yavaþ sürekli hata veriyor;Yavaþ
Ýnternet bankacýlýðýnda sorun yaþýyor um;Çalýþmýyor - Hata Veriyor
Albaraka kullanýyorum ve hiç memnun deðilim;Genel Memnuniyetsizlik
"Saat 18den sonra alsat makas aralýðý
Çok fazla..";AlbaFX
MOBÝL ÞUBE ÇOK YAVAÞ.;Yavaþ
Þube ve atm eksikliði;ATM
Hizmetler sekmesinin kullanýmý kolaydýr;Kullanýþsýz
Mobil uygulama çok geç açýlýyor. Ana ekran donuyor. Hýzlý ve pratik deðil;Yavaþ
Beþ para etmez;Genel Memnuniyetsizlik
"Neden kredi kartý baþvuru için internetten kabul edilmez
Cevap bekliyorum";Kart
Birçok iþlem bankaya gitmeyi gerektirir ve uygulamadan gerçekleþtirilemez.Banka, özellikle nakit çekme konusunda müþterilerle kötü ilgilenir.;Fonksiyon Eksikliði
Uðraþmasý zor;Kullanýþsýz
Cok kullanisli degil;Kullanýþsýz
Ýnternet bankacýlýðýnýz çok kötü müþteri temsilcilerinizin diyaloglarý çok kötü;Kullanýþsýz
Bankamatik sayýnýz çok az Word hizmetlerinden sadece Yapý Kredi Vakýfbank  geçiyor Genelde biz maðdur oluyoruz Albaraka deyince Albaraka hariç diyorlar boynumuz bükük kalýyor;ATM
Atm hizmet agi az   her yerde bulunmuyor ve ptt dede bu sorunlar ayni cogu zaman almak istedigimizlimit yetersiz gunluk limit 3000 olmasida problem;ATM
Telesekreter üzerinden iþlem uzun ve anlaþýlmaz.. Ýki gün uðraþtýktan sonra servis çalýþanýna ulaþmam ve sorunu çözmem yaklaþýk 40 dakika sürdü.;Çaðrý Merkezi
Mobil bankacýlýðý yavaþ, iþlemleri mesai saati ile sýnýrlý, yatýrým iþlemlerinde alým satým farký fazla,;Yavaþ
Mobil uygulamanýz hiç iyi degil;Kullanýþsýz
ATM'nin çalýþmasý gerekmez;ATM
Ýçeri girmekte zorluk;Login Problemi
Mesai dýþýnda fes olmamasý diðer bankalarda hizmet var;Fonksiyon Eksikliði
Çok yavaþ ve sualler çok gýcýk. Özellikle fast transfer ve tekrar tekrar þifre talepleri çekilmez kýlýyor;Yavaþ
kötü muamele;Ýlgisizlik
Mobil þubeye giriþlerde ve iþlemlerde sorun var, yasiyoruz. (Log-in iþlem gerçekleþmiyor.;Çalýþmýyor - Hata Veriyor
Müþteri temsilcisi çok ilgisiz;Ýlgisizlik
Telefon bankacýlýðýna ulaþamýyorum. Banka kartý haftalarca gelmedi. Gizli kelime diye birþeyin bilgisi hesap açýlýrken sorulmadý veya verilmedi. Banka kartý geldi ama internet bankacýlýðýnda baðlý kart görünmüyor þifre belirleyemiyorum. Ulaþýlamamasý üzerine kurulmuþ gibi banka. Kýsa vadede þirket hesabýný deðiþtireceðim artýk, ilk günden itibaren sorunlu!;Çaðrý Merkezi
Sýnýrlý kullaným süresi için;Timeout Süresi Kýsa
Uygulama yavaþ;Yavaþ
Personelin müþteri hizmetleri konusunda tecrübesi yok ve transferlerle ilgili sorunlarýn çözümü yok Maalesef þimdiye kadar çalýþtýðýmýz en kötü banka;Þube
Hiçbir gerekçe gösterilmeden ve uyarý yapýlmadan hesap kapatýlmýþ ve sistemin sadece bu formu yazdýrdýðý bahanesiyle hesabýn kapatýlmasýný istediðim yazýlý kaðýtlarýn basýlmasý küstahlýk teþkil etmiþtir.Kirli, baþarýsýz ve çok yüzsüz. banka Çabalarýnýzda feci bir baþarýsýzlýk diliyorum.;Hesabým Kapatýldý
Çok çok çok yavaþ;Yavaþ
Online alýþveriþ çok iyi deðil;Kart
"I am so disturbed with password and entry difficulties
Besides password recovery from call center is so difficult";Login Problemi
Özellikle 500 evler þubesi telefona bakmýyor ve iletiþimleri düzgün degil;Þube
Diðer bankalara göre özellikle uygulamayý açarken ve ay baþýnda en hýzlý cepten indirdiðimi bilerek uygulama çok yavaþ, mesela Kuveyt Türk Bankasý çok hýzlý.;Yavaþ
eski;Eski
Mobil hizmet gayet güzel ancak þu an þubedeyim bankoda bir eleman çalýþýyor ve bekliyoruz. Pek hoþ deðil. Bankoda bir eleman daha olamazmýydý?;Þube
Sistem çok aðýr.;Yavaþ
Diðer mobil uygulamalara göre en zayýfý Albarakadýr. Diðer bankalar maaþ müþterilerine hafta sonu veya hafta içi ücret kesmiyorlar. Ýstediðiniz bankaya anlýk olarak ödeme gönderebiliyorsunuz. Her eft gönderiminde güvenlik þifresini isyorsunuz. Para çekmek için qr ile tüm mobil þubenizi geziyoruz.;Kullanýþsýz
Yeterince cevap vermiyorlar.;Bilgilendirme Eksikliði
Gerçi her seferinde paylaþýyorum ama hiçbir þey deðiþmiyor yaptýrdýðýmýz her iþlemi en az 2 kere tekrar yaptýrýyoruz bazan üç bazan dört kere bu son paylaþýmým;Çalýþmýyor - Hata Veriyor
Uygulamada ki zorluklar;Kullanýþsýz
Hic kullanamadigimiz bir matik yapilmis .vallahi para cekmek zulüm oldu..iki gun calisiyorsa 10 gun calismiyor..fatih sultan caddesi okmeydani..nerden bulastik bu bankaya diyoruz..sube de yok .kaldik tek bankamatikle..ta kaskmpasays mi inelim para cekmek icin..buns bit cozum bulursaniz cok seviniriz.bu bankaya hic yakismiyor;ATM
Cok kotu;Kullanýþsýz
Sürekli sýkýntý yaþamaktayým ve çözüme ulaþmak çok zor;Çalýþmýyor - Hata Veriyor
Al Baraka'nýn diðer bankalar gibi para çekme ve yatýrma makinesi yok.Makinelerin sayýsý az.;ATM
Çalýþan açýklama yapmadan bakiyeden 3000 çekti.Þirket için banka hesabý ve kiþisel hesap açtýðýmda çalýþanlar yüzünden çok sorunla karþýlaþtým.Muamelesi iyi deðil.Ýþlemler yavaþ.Arapça yok- Malatya þubesinde konuþan çalýþan.;Þube
Bankadaki elaman eksikliði.þubeyi kapatmanýzý bekliyorum.;Þube
Uygulama biraz karmaþýk ve açtýðýnýzda çok yavaþ ve bazý kelimelerin Arapçaya çevirisi hatalý.;Kullanýþsýz
Cok kesilyor her zaman sistem yok gibi caliþyor;Çalýþmýyor - Hata Veriyor
Þirket için günlük 5000 tL þimit çok düþük en az 40000 tL olmalý;ATM
Diðer bankalarýn mobil þubeleri daha kapsamlý. Albaraka ilkel kalýyor. Konya'da doðru dürüst ATM niz yok ATM sayýsýný artýrmamýz gerekir. Þirket hesaplarýnda fast EFT butonu yok .;Fonksiyon Eksikliði
Güzel ama bazen açýlmýyor bazen de havale yapýlýrken bankadan baþka bir isim yazýlýyor;Baþka Banka Ýsmi Yazýyor
"Tabiki  
1- Mobil banka islemi için sekmeye girdigimizde sure tuttum 48 saniyede açýlýyor 
2- Kullanýmý  pratik deðil  yardýma ihtiyaç duyuluyor
3- Iþlem yaparkende sayfayý sürekli ileri geri getirip açýyoruz 
4- Islemlet çok uzun sürüyor 
5- Isteyerek bilincli bir tercihle Albarak dedik ama garanti bankasý mobil daha kaliteliymiþ dedirtti 
6- Bu cevremdekilerde de duyduðum þikayetleri 
Hizmet ve program kalitesini pratiklik ve cabuklugunu saglarsaniz memnun oluruz";Yavaþ
Çünkü halla bir temassýz banka kartý hizmeti veremiyorsunuz;Kart
Bazý özellikleri yeterli deðil, Vodafon internet faturasi ödeyemiyorum;Fonksiyon Eksikliði
Çünkü en kötü banka uygulamasý ve dijital asistan en aptal asistan olduðu için yardým istemek istediðinizde kimseyi bulamýyorsunuz ve hatta havalede bir hata oluþtuðunda kimseden yardým bulamýyorsunuz ve telefondaki asistan çoðunlukla etik dýþý kiþilerdir ve destek ve yardým hizmeti verecek yeterlilikte deðildir. Ne yazýk ki Al Baraka Bank ile uðraþmak zorunda kalmasaydým sizinle uðraþmayý bir süre önce býrakýrdým.;Asistan
Bir baþka banka mobil su be ile kýyaslayýnca cooook gerilerde kalmis;Fonksiyon Eksikliði
Program çok yavaþ umarým geliþtirilir;Yavaþ
Yillardir mobili kullanan musterileriniz var her tlf uygulamanýz kullanabilmasi gerek.ektedir birden yeni uygukamaya gecip bu versiyonu olmayan musterilerin mobili kullanmayacak olmasý hos degil;Versiyon Kýsýtý
Merkezlerin içindeki hizmet çok zayýf;Yavaþ
Son iþlemler için kutularý artýrmak istiyorum, çünkü son iþlemler için kutudan gerekli hesap iþlemine bir baðlantý göndermeyi veya paylaþmayý etkinleþtirmenin yaný sýra üçten fazla kutu göstermiyor;Fonksiyon Eksikliði
Dolar ile Türk Lirasý arasýnda büyük bir fark var. Saat beþten sonra gerçekleþen transferler ücretlidir.;Kur Marjý
Bankanýn aldýðý komisyonlar dolar ve diðer bankalara havale yapýyor mesela Kuveyt Türk Bankasýndan farklý olarak bir de teknik sorunlar çýktýðýný duydum;Ücret Alýnmasý
ATM dedim ve makinenin çoðu bozuk;ATM
Müþteri memnuniyeti ve iletiþim ve mobil bankacýlýk anlayýþý sýfýr...;Ýlgisizlik
Bugün çok kötü bir buçuk saat öncesine kadar aktarabildim beni hep aðýr programdan çýkardý aradým ve benim için þifreyi deðiþtirdiler sonra beni dýþarý çýkardýlar þimdi giriþ yapmaya çalýþýyorum girmiyor bundan nefret ettim programý;Yavaþ
ATM ler çok sýk arýza yapýyor, koca Bursa'da doðru düzgün ATM bile yok.. para yatýrýcam sorun oluyor;ATM
En son üç iþlem gösteriyor mobil uygulma çok kullanýþsýz;Kullanýþsýz
Telefon uygulamasý çok yavaþ ve kredi kartý reklamý var baþvuru yaptým bankaya gidin diyorsunuz;Yavaþ
Ýþlem çeþitliliði az hala SGK ödemesi yapýlamýyor yardým kuruluþlarýna baðýþ yapýlamýyor.;Fonksiyon Eksikliði
Kredi kartý vermiyirsunuz;Kart
Çok yavaþ;Yavaþ
"Taleplerimizin hýzlý bir þekilde çözümünde müþteri temsilcinizin yavaþ kalmasý dönüþlerinde çoðu zaman biz aradýðýmýz zaman iletiþime geçebiliyoruz. 

Ve kredi kartý limiti özellikle þirket kurumsal kartýmýzýn enflasyon artýþýna baðlý olarak limit artýþý talebinde bulunduk…sonuca ulaþamadýk…sadýk bir müþterimiz olmamýza raðmen….";Çaðrý Merkezi
Eksikler var;Fonksiyon Eksikliði
Ýnternet Þubeye baðlantý çok zor oluyor.5-10 dakikayý bulabiliyor.Maaþ aldýðým bankada bu sorun yok.;Yavaþ
Programda kaydettiðim verilere FAST aktaramýyorum;Çalýþmýyor - Hata Veriyor
Yeterli deðil;Fonksiyon Eksikliði
Program yavaþ çalýþýr, aksine diðer banka programlarýnýn geri kalaný daha hýzlý çalýþýr;Yavaþ
Çok yavas;Yavaþ
Sistem çok aðýr çalýþýyor;Yavaþ
Bankada sýkýntý yok ama uygulama çok kötü;Kullanýþsýz
Faizsiz diyorsunuz faizli bankalardan daha yüksek oranda kredi kullandýrýyorsunuz;Kredi
Mobil uygulamaya giriþ yapamýyorum pos cihazý iþlemlerimden 1.600 lira oara hesabýma geçmedi;Çalýþmýyor - Hata Veriyor
Too slow fixing problems;Yavaþ
Para iadeleri geç kalýnýyor baþka bankadan para atýnca kesinti ücreti çok fazla sürekli pin sormasý yoruyor;Aþýrý Güvenlik
Ne esnek hesap ne kredi kartý vermiyorsunuz;Kart
Ýletiþim kopukluðu;Ýlgisizlik
Diðer bankalarla ayný atm her yerde yok sadece;ATM
Çok ilgisiz;Ýlgisizlik
"Yavas
Ýçerik az 
Bazen login hatasý veriyor mobilde";Yavaþ
Karmaþýk . Garanti Bankasýnýn mobil bankacýlýðý ile karþýlaþtýrýn daha iyi anlarsýnýz.;Kullanýþsýz
"Mobil þube çok aðýr.
Özellikle ilk giriþte çok bekliyoruz 
Para transferi yaparken ""bakiyenin tamamýný aktar"" seçeneði yok.
Tanýmlý hesaplara 7/24 fast iþlemini tanýmlý hesaplara yani hýzlý para gönder ekranýndaki hesaplara gönderemiyoruz";Yavaþ
Mobil bankacýlýk uygulamasý karýþýk daha donanýmlý ve sade olabilir;Kullanýþsýz
"Ýþlem yapýlamýyacaksa (örneðin para transferi) ilk adýmda þu an iþleminizi yapamýyorum uyarýsý gelebilir. Ancak sizin sisteminizde son adýma geldikten sonra bu uyarý geliyor. 
Ayrýca KK hesap vadesi dolduðunda para ilave ederek hesap açmaya müsade etmiyor; vadesi dolan hesap tutarýnca açabilirsiniz uyarýsý veriyor.";Çalýþmýyor - Hata Veriyor
Hafta sonu ve hafta içi saat 18 den sonra para göndermek için 12 Tl kesmeniz;Ücret Alýnmasý
"Hiç bir özelliði  yoktur bir þey ödeme yapmak istiyoruz  ödeyemiyor sunuz hep baþak banka veriyor mesela   
Bir örnek ara cezasý var hgs borçu var vazai vesayi 
Ödeme yapamýyoruz baþka bankalardan ödeme yapýlýyor bazý özellikler yoktur albaraka banka da 
çaresiz ve maðdur kalýyor insanlar sadece para hesplalar ve altýn döviz olmuyor beh albara müþterilerine daha Ge iþ bir insan susmasý lazým  ben albara bankasýnda böyle bir þey deðiþ mesini isterim";Çalýþmýyor - Hata Veriyor
2,3 hafta önce madiamark Haramidere maðazasýndan pazar günü hesabýmda para olduðu halde ,kartýmdan red cevabý geldi,2-3 defa denemenizde raðmen oldu ve ben o gün bankanýza çok düþük puan verdim,paramla beni rezil ettiniz.;Kart
"Banka çok uzakta 
Yakýnýmdaki en yakýn atm 15 km den fazla
Para çekme yatýrma iþlemini baþka atm den yapýyorum ve bu çok falza soruna sebep oluyor bunlarý yazmaya dahi dermaným yok ararsanýz söylerim 
Kýsacasý bankanýzýn verdiði hizmet yetersiz";Þube
Hýzlý Para Transferi yaparken Fast ile gönderme iþlemi yapamýyorum. Fast e ayrý girip ýban yazmam gerekiyor. Çok büyük eksiklik. Gereksiz uðraþýyoruz;Hýzlý Ýþlemlerle FAST Olmamasý
Çoðu yerde atm ve bankanýz yok ptt anlaþmanýz var para çekerken kesinti yapýyor;ATM
Uygulama çok kötü. Kullanýcý deneyimi olarak 10 dakikalýk bir kullanýmla en az 20 hata bulabilirim. Bir bankaya hiç yakýþmýyor. Yazýlýmcý ihtiyacýnýz varsa bana ulaþýn. Ýyi çalýþmalar;Kullanýþsýz
sizdeki hesabýma 7 ad otomatik ödeme talimatý verdim bunlar için sizden kredi kartý baþvurusu yaptým onaylanmadý’buna bir anlam veremedim benim aylýk gelirim bankada beyanlý ortalama 50 bin civarý ama red yedim bende bu yüzden talimatlarý iptal ettim sizinle çalýþmam daha’pos cihazlarýmý sizin bankadan alacaktým vazgeçtim;Kart
Iki aydýr banka kartim hala gelmedi;Kart
Hesapta bloke olan parayý göremediðimden dolayý günlük hesaba yatacak para miktarýný takip etme mümkün olmuyor. Daha önce kullandýðým Türkiye Finans ýn bu hizmeti çok kullanýþlý idi.;Fonksiyon Eksikliði
Kar orani % 80 indirmeniz müþteri kaybina  neden olacak;Kar Payý Düþük
Para týransferi yaparken ayrý ayrý iþlemdeyse 5 bin ve altý Fas diyerleri EFT olarak yapmýyor buda tekrardan EFT adýmýndan son iþlemlerde yapýlamýyor;Fonksiyon Eksikliði
Zaman zaman çalýþmýyor;Çalýþmýyor - Hata Veriyor
Gördüðüm en kötü mobil uygulama, sürekli donuyor, iþlevsiz. Ayný zamanda kuveytturk ve vakýf katýlým da kullanmaktayým. Kullandýðým en iyi mobil uygulama kuveytturk. Lütfen mobil uygulamayý acilen deðiþtirin.;Çalýþmýyor - Hata Veriyor
Uygulamanizi beðenmedim bunu bir kaç kez dile getirdim ikincisi ise kaç gündür kredi kartým elime gelmedi hiç bir iþiniz duzunli deðil bilginiz olsun;Kullanýþsýz
çek kýsmý olmamasý ayrýca bazý bölümleri albafix uygulamasý gibi kýsa yola alamamamýz gibi;Fonksiyon Eksikliði
7/24 para transferi ücretsiz diyorsunuz ama deðil;Ücret Alýnmasý
Sisteminiz aðýr iþliyor;Yavaþ
Mobil þube aðýr çalýþýyor;Yavaþ
Müþteri ile personel ilgilenmiyor, Bi günde halledilmesi bir iþlem 10 gün sürüyor.  Telefonlara cevap verilmiyor.;Ýlgisizlik
