Yorum;Kategori
ATM den para çekerken telefona onay SMS ile onay kodu gönderilmesi. Telefona her an ulaþamayabiliyoruz. Farklý banka ATM lerinden çekerken böyle bir uygulama yok. Para çekerken bile farklý banka ATM si olmasý tercihimiz olabiliyor.;Aþýrý Güvenlik
Ýyi hizmet alýyorum ayrýca bir cok yerde atemeniz yok neden acaba;ATM Sayýsý Yetersiz
Yetersiz atm;ATM Sayýsý Yetersiz
Hak yiyen bi bankasýnýz çalýþanlarýnýzýn çoðu Ýzmir’de içkici insanlar hala yýllarca çalýþtýrýyorsunuz . Kuveyttürk çok daha kaliteli personelleri mevcut Ýzmir’de;Genel Memnuniyetsizlik
Çok yavaþ çalýþýyor;Yavaþ
ATM. Lerý her yerde bulamýyoruz. ?;ATM Sayýsý Yetersiz
Merkez þubenin dýþýnda hiç bir ATM bin bulunmamasý;ATM Sayýsý Yetersiz
Klavye ve güvenlik iþlemleri;Aþýrý Güvenlik
ATM pek yaygýn olmamasý ve bazen atmlerin caliþmamasi;ATM Sayýsý Yetersiz
Çok yavaþ iþlem Yapiyor;Yavaþ
Hep sýra.. çalýþan az, giþede 1 kiþi var.;Þube
Para bulunmamaktadýr;Nakit Bulunmuyor
Her yerde ATM yok;ATM Sayýsý Yetersiz
ATM lerdeki para çekme limiti çok düþük.;Para Çekme Limiti Yetersiz
Bulunduðum yerde ATM niz yok. PTT ATM si de komisyon kesiyor. (3.000? denilmiþti ama komisyon alýyor);ATM Sayýsý Yetersiz
Yanýnda cep telefonun olmadan para çekemiyorsun, cep telefonun numarasýný bilmiyorsan para çekemiyorsun, bunlar para çekmeni engelliyor;Aþýrý Güvenlik
Þirin evler atm  bozuk  hizmet  vermiyor  personel  soguk;Çalýþmýyor - Hata Veriyor
Her yerde atme yok.;ATM Sayýsý Yetersiz
Her banka gibi standart;Genel Memnuniyetsizlik
Fazla atm yok;ATM Sayýsý Yetersiz
2021 Kasým ayýndan beri yakýnýmda bulunan atm den para yatýrýlamýyor. Þubeye söyledim taþeron bakýyor dediler. Her ay 2 km yol yürüyerek þubeden yatýrýyorum. Hizmetiniz bu mu;Çalýþmýyor - Hata Veriyor
para çekerken þifre istemesi vb;Aþýrý Güvenlik
Hiçbir yerde atm yok;ATM Sayýsý Yetersiz
Atm ler. Çok arýzalý oluyor.;Çalýþmýyor - Hata Veriyor
Ateme devamlý arýzalý;Çalýþmýyor - Hata Veriyor
Ýyi degil;Genel Memnuniyetsizlik
100 tl üzeri her para çekiþinizde ÞÝFRE istiyor. Bu zorluk hiç-bir banka atm sinde yok.;Aþýrý Güvenlik
ATM’lerde hafta sonu para olmuyor;Nakit Bulunmuyor
Ptt atmlerinden ücret kesilmeden para çekebiliyordum eskiden þimdi ücret tahsil ediliyor. Albaraka kayseride çok olan Bi banka deðil doðal olarak atmsi de çok yok. PTT ile kolaylýk saðlanýyordu þimdi öyle biþi kalmadý hoþ deðil. Müþterileri böyle maðdur etmeniz doðru deðil;Ücret Alýnmasý
120000 nüfuslu bir ilçede oturmaktayým ilçede ATM olmadýðýný PTT ATM lerinde çoðu zaman atmde ya para yok yada geçici olarak hizmet dýþýdýr þeklinde yanýt veriyor;ATM Sayýsý Yetersiz
Çok yorucu uzun zaman alýyor;Kullanýþsýz
Her yerde atm yok ve baska bankadan masrafli olarak cekmek zorunda kaliyoruz;ATM Sayýsý Yetersiz
1. Bulmak çöz zor buluncada para beyendiremiyoruz;ATM Sayýsý Yetersiz
Çünkü hiç bir atm nizden para çekemedim;Çalýþmýyor - Hata Veriyor
Para çekerken bankacýlýk sisteminizin çalýþmadýðý ve bir problem olduðu bana iki kez tekrarlandý.;Çalýþmýyor - Hata Veriyor
Ýki kez para yatýrdým iki kez iade etti iþleminiz devam ediyor diye bekletýyor;Çalýþmýyor - Hata Veriyor
Atm iþlemleri daha güncel daha hýzlý olabilir;Yavaþ
Þubeleriniz az birincisi ikincisi baþka bankalarda para çektiðimiz zaman para kesiliyor bizde bir de sizin þubelerinizin içinde çalýþan bazý elemanlar ilgilenmiyor ondan dolayý mecburiyetten de olsa bankanýzý kullanýyorum ama 0 puan veriyorum;Þube
Çoðu Bankalarýn ATM leri tek seferde 5000_7000 TL verirken sizin bankamatiðiniz sorgusuz sualsiz 3000 TL veriyor sormuyor ücret karþýlýðý 6000_7000 TL istiyormusunuz diye;Para Çekme Limiti Yetersiz
Uzun iþlem;Kullanýþsýz
Bankadaki paramýn 3000 tl üzerindeki miktarýný çekemiyorum. Yaþadýðým ilde albaraka atm si yok. Ptt den çekiyorum;Para Çekme Limiti Yetersiz
ATM ye her gittiðimde birkaç sefer uðraþmam gerekiyor tek seferde iþlemim olmuyor en son kartýmý aldý bankamatik diðer bankalarda bý durumu yaþamýyorum iþlemim bir seferde gerçekleþiyor bence ATM’ye 1 puan bile çok;Çalýþmýyor - Hata Veriyor
Atm lerden para çekerken cep.tel.kod istemesi iþi uzatýyor daha pratik bir önlem alýnmalý;Aþýrý Güvenlik
Çok yavaþ ve hantal çalýþma. ATM yetersizliði;Yavaþ
Limitiniz düþük herilde ilçede yok;Para Çekme Limiti Yetersiz
Nakit çekimlerde her seferinde bana ve diðer müþterilerin önüne çýkan cep tlefon numarsý sms  gibi sorular diðer banka atm lerinde karþýlaþmýyorum karþýlaþmýyorlar;Aþýrý Güvenlik
Nazilli de Albaraka ATM yok ki memnun olalým;ATM Sayýsý Yetersiz
ATM Leriniz yok denecek kadar az O yüzden bizde baþka  ATM lerden çekip komisyon ödemek zorunda kalýyoruz…………;ATM Sayýsý Yetersiz
ATM’lerinize ulaþmak çok zor ve nüfus yoðunluðunun olduðu yerlerde bile ATM bulamýyorum;ATM Sayýsý Yetersiz
Çok handal ve oyalayýcý bir yapý var. Kart ile para çekerken bile ek güvenlik gereksiz;Yavaþ
Bulunduðumuz yerde ATM Yok baþka bankamatik lerden ise bazen de olsa iþlem ücreti talep ediyor;ATM Sayýsý Yetersiz
Hýzlý deðil ve sürekli aksilik çýkarýyor özellikle transfer iþlerinde en fazla 20 lia 30 dakika sonra gönderilir;Yavaþ
Temassýz kart baþvurusu yaptýðým halde cevap gelmiyor  çok sorunsuzca;Kart
Yaygýn deðil;ATM Sayýsý Yetersiz
Sayý az;ATM Sayýsý Yetersiz
Yeterli, iþlevsel kaliteli bulmuyorum;Kullanýþsýz
ATM sayýsý az.bu arada PTT ATM leri kartými kabul etmiyor Batman'da sadece 2 tane Albaraka ATM si var;ATM Sayýsý Yetersiz
QR kodla para çekme iþlemi bir türlü gerçekleþmedi .Gerekçe:QR kodun okunamamasý,maðdur olan kim?Ben!!;QR
Bayram günleri para çekemedim atm de para yok tu;Nakit Bulunmuyor
Bulunduðu yerde ATM yok ve PTT makinesi kullanýrken para çekmek ve yatýrmak için komisyon alýyorlar tabii ki bu yeni bir konuþma.;Ücret Alýnmasý
Arefe günü bayramýn 1. Günü ATM de para yok bayram da para cekemeyeceksen neye yayar 7/24 FAST ucretsiz diyorsunuz 12 TL kestiniz bide maas müþterisi olmamýza raðmen kesinlikle kimseye tavsiye etmem þu banka sözleþmesi bitsene sizden biran evvel kurtulsak internet bankacýlýðý facia zaten;Nakit Bulunmuyor
Parayý çekmek ayrý bir dert yatýrmak ayrý bir dert.. Bana sorarsanýz diðer bankalarýn atm iþleyiþini örnek alýp incelerseniz iyi olur maaþ müþterisi olmasam bir gün bile albaraka da durmam;Kullanýþsýz
Ýlçelerde de atm olmalý.ortak atm ler yoðun oluyor;ATM Sayýsý Yetersiz
"ATM sayýnýz yok denecek kadar az,
Bununartýmak zor olmasa gerek";ATM Sayýsý Yetersiz
Mesela ben Ne Bodrum da ne Milas ta bit atm nizi gördüm.;ATM Sayýsý Yetersiz
Atmler çok az;ATM Sayýsý Yetersiz
Bankamatikler bazan iþlem yapmýyor, PTT ATM leri Albaraka kartla iþlem yapmýyor, bölgemizde ATM ler yetersiz;Çalýþmýyor - Hata Veriyor
Sürekli çalýþmýyor;Çalýþmýyor - Hata Veriyor
Orge kodu görmüyor yavaþ;QR
QR kod ile iþlem yapamýyorum, müþteri hizmetleri ne bildirdim ancak çözüme kavuþmadý, diðer banka atm lerinde kullanabiliyorum fakat sizde kullanamýyorum.;QR
Her yerde Albaraka ATM olmasý daha iyi olur;ATM Sayýsý Yetersiz
ATM çok yavaþ;Yavaþ
Para çekerken sms veya telefon zorunluluðu diðer banka atmlerinde olduðu gibi kaldýrýlmalý.;Aþýrý Güvenlik
3500? fazla yatrýlmadý baþka bir kart kulanamayý mecbur kaldým;Para Yatýrma Problemi
"QR kodla para yatýrma ve çekme iþlemlerinde sýkýntý yaþýyorum 
Hatta hiç iþlem yapamýyorum";QR
Cok az nokta;ATM Sayýsý Yetersiz
ATM ÇOK AZ VE ANLAÞMALI ATM PTT  ZATEN PTT BANK ATM SAYISU ALBARAKADAN AZ;ATM Sayýsý Yetersiz
Defaatle dile getirmeme raðmen ikinci bir ATM’yi ýsrarla ilçeye, bankaya eklemiyorsunuz. Mevcut ATM çalýþýr durumda olduðundan çok hizmet dýþý. Lütfen biraz daha saygý gösterin müþterilerinize. Teþekkürler;ATM Sayýsý Yetersiz
Cep telefonun  N olan yerlerini girin kýsmýndan hoþlanmýyorum;Aþýrý Güvenlik
Sizin ATM lerinizden hesabýma ne döviz yatirabiliyorum ne de döviz cekebiliyorum. Dün önce  Fýndýkzade þubesindeki ATM ye döviz yatýrmak istedim olmadý. Paranýz tanimlanamiyor diye defalarca geri verdi. 1500 USD.  Sonra Sanayi mah. Þubenizdeki ATM den denedim yine reddetti. Gittim Akbank ATM sine yatýrdým. Soru þu, siz daha ATM lerinize para çekip yatýrma iþlemini hakkýyla yapamazken, neyin anketini yapmaya cüret ediyorsunuz ?  Paranýz tanimlanamiyor diye geri verdiðiniz (1500 Usd) parayý Akbank nasýl tanýmlayýp ta kabul ediyor? Bence anketten önce ATM lerinizin iþleyip istemediðini kontrol edin;Fonksiyon Eksikliði
ATM yok;ATM Sayýsý Yetersiz
Bulunduðum yerde Albaraka atm yok.;ATM Sayýsý Yetersiz
Çok uðraþtým para yatýrmaya olmadý;Para Yatýrma Problemi
Öncelikle ATM sayýnýz çok az.ve bazen sorun yaþayyabiliyorum.ptt lerde de çok sorun yaþamaya baþladým;ATM Sayýsý Yetersiz
Ptt atmeleri asla ise yaramiyor;PTT
Daha önce de þikayetimi belirttim ATM yetersizliði diye.geri dönüþ yapýldýðýnda PTT ATM lerinden iþlem yapabileceðim söylendi.Ama PTT ATM lerine kartýmý taktýgimda çipsiz kartlarla iþlem yapamazsýnýz diyor.bizim kartlarýmýzda çipsiz kartlar bankamýzýn ATM hizmetinden hiç memnun deðilim.inþallah kurumumuz en kýsa zamanda ATM si fazla olan bir bankayla anlaþma yapar da kurtuluruz bu sýkýntýdan.;ATM Sayýsý Yetersiz
Mersinde fazla þubeniz olmadýðý için;Þube
Ben böyle bir ATM görmedim bir para yatýrýcam üç sefer dört sefer de anca yatýrabiliyorum hiç memnun deðim;Çalýþmýyor - Hata Veriyor
Türkiye’nin hiç bir bankasýnda 05**N****N* gibi doðrulama uygulamasý yok iken böyle saçma sapan doðrulama isteyen bir banka ATM’leri;Aþýrý Güvenlik
En fazla 3000 tl olan günlük atm çekim  miktar çok az 4 defa atm gitmek zorunda kalýyorum bu miktarýn mutlaka arttýrýlmasýni rica ederim tsk;Para Çekme Limiti Yetersiz
Qr kod okuturken güneþ geliyor ve bir türlü telefonla uyuþmuyor. Atm siperlikleri düzgn olmalý. Makineler eski parayý tanýmýyor.;QR
Rize de 1 tane atm nin bulunmasý ve onunda sürekli arýza yapmasý;ATM Sayýsý Yetersiz
Bulunduðum ilçede Bankanýz ve ATM'nýz  olmadýðýndan ve de Saat 17.00'dan sonra iþlem ücreti kesildiðinden bu puan da fazladýr;ATM Sayýsý Yetersiz
Sürekli sorun lu;Çalýþmýyor - Hata Veriyor
Para yatýrma ve para çekme süresinin uzun sürmesi ve her defasýnda sahte para muamelesi yapmasý. Ayný parayý geri defalarca deneyince de kabul ediyor. Yani parada sorun olmadýðý halde bu kepazelik yaþanýyor ATM de. Bazen gece yarýsýnda güvenlik sorunu olabilecek saatte böyle oyalýyor;Yavaþ
ATM sayýmýz ve þubemiz az;ATM Sayýsý Yetersiz
Giþede 1 personel çalýþýyor !.Bu anketin hiç bir kýymeti harbiyesi yok.Boþa vakit kaybý.;Þube
Çoðu zaman arýzalý oluyor;Çalýþmýyor - Hata Veriyor
Atemeler iniz Yetersiz  heryerde yok;ATM Sayýsý Yetersiz
Koskoca þehirde tek atm;ATM Sayýsý Yetersiz
Ateme sýkýntýsý inegölde tek ateme olurmu sorun bu;ATM Sayýsý Yetersiz
Albaraka ATM heryerde yok.;ATM Sayýsý Yetersiz
Yeterince atm yok þube yok ve doðru düzgün diðer bankalarla anlaþmanýz yok PTT ziraat bank vakýfbank gibi;ATM Sayýsý Yetersiz
Derince de þubemiz ve atm niz yok;ATM Sayýsý Yetersiz
Günlük çekim limitleri yetersiz;Para Çekme Limiti Yetersiz
Atm'ler yeni dijital ve dokunmatikli olmayýp eski tip Atm' ler olduðu için geçenler de kartýmý takip para cekicektim tuþlarý basilmiyor...birde üstüne kartýnýzý yuttu Atm' þubeden alabilirsiniz...oysa ki ATM kartýný bana vermiþti ...o yüzden puaným bu;Eski
Para çekerken cep teli sms gibi bilgi istiyor ve atm sayýnýz çok az;Aþýrý Güvenlik
Cihazlar çok  yavaþ asgari ücret  5.500 ben kartýmdan  maaþýmý  tam çekemiyorum  günlük  limit  5000 diyor otomatik güncellemesi  lazým;Yavaþ
Sebeb yok csnim öyle istedi;Genel Memnuniyetsizlik
Ýyi hizmet alamýyoruz.;Genel Memnuniyetsizlik
Birçok iþlem yapýlamýyor;Fonksiyon Eksikliði
Yeterli atemeniz yok;ATM Sayýsý Yetersiz
Nezaman gitsem servis dýþý;Çalýþmýyor - Hata Veriyor
Daha önceki anket ve yapýlan hizmetlerin ve þikayetlerimizin sonuçlarýn cevaplarýný alamadým;Ýlgisizlik
Karaman da sadece 1 adet atm var. Hastane önünde ve bir yerde daha olmasý gerekir.;ATM Sayýsý Yetersiz
Sýstem cok yavaþ;Yavaþ
Hiç bi iþe yaramayan kötü bi banka çok piþmaným kimseye tavsiye etmemm;Genel Memnuniyetsizlik
Hizmetten memnun deðilim;Genel Memnuniyetsizlik
Hiçbir yerde ATM'si yok ki baþka ATM kullanýyorum Yenimahalle yürüyüþ yolunda var kaldýrmýþlar;ATM Sayýsý Yetersiz
Heryerde bankamatik yok insanlar sýkýntý çekiyor;ATM Sayýsý Yetersiz
Katým olduðu halde, yanýmda cep telefonum olmadan para çekemiyorum. Atm den her para çekiþimde cep telefonuna gelen þifre isteniyor. Bence yüksek tutarlý para çekiminde þifre olabilir ama her para çekiliþinde sormadý mantýklý deðil. Çok bürokratik ve gereksiz;Aþýrý Güvenlik
Kartlarýnizdaki kalitesizlik arka ve ön yüzünde bulunan sayý rakam yazýlarýn silinmesi  ve manyetik alanýn zaman zaman sýkýntý yaratmasý;Kart
Kötü;Genel Memnuniyetsizlik
Kartla para çekim limiti az kartla;Para Çekme Limiti Yetersiz
Her yerde atm niz yok;ATM Sayýsý Yetersiz
ATM’leriniz yaygýn deðil. Genellikle PTT ATM’si kullanýyorum. O da hafta sonlarý komisyon istiyor dolayýsýyla kullanamýyorum:;ATM Sayýsý Yetersiz
Dün gittiðim atm çok yavaþtý ve donmalar takýlmalar gerçekleþiyordu;Yavaþ
Kart ile iþlem yapýyoruz birde ekstra bilgiler istiyor iþlemler uzun sürüyor.Birde nakit çekim ücreti çok çok çok az;Aþýrý Güvenlik
ATM az;ATM Sayýsý Yetersiz
Her para çekiminde bizden son menüde þifre isteniyor;Aþýrý Güvenlik
Albarakatürk atm’leri hýzla geliþen dijital ortamýn gerisinde kalýyor ve kullaným zorluðu var;Kullanýþsýz
ATM lerden para çekerken miktar az olduðu halde telefon þifre onayý istemesi;Aþýrý Güvenlik
ATM Cihazlariniz yavaþ hareket etme konusunda rekorlar kýrýyor, tebrik ediyorum.;Yavaþ
Para çekme için ücret istenmesi;Ücret Alýnmasý
Sadece banka þubesi olan yerlerde bankanýn önünde atm var, þube bulunduðum yere çok uzak olduðu için kartým albaraka atmsi görmedi bile. Ptt atmsi kullanýyorum genelde ama o da bir çok zaman hizmet veremiyor, kamu bankalarýyla bir anlaþmaya varýlýrsa atm kullanýmý açýsýndan biz müþteriler için oldukça iyi olur.;ATM Sayýsý Yetersiz
Baðlý bulunduðum ilçede ATM yok;ATM Sayýsý Yetersiz
Bulunduðum ilçede Albaraka atm yok;ATM Sayýsý Yetersiz
Bankamatikler çok az sayýda ve çok yavaþ;ATM Sayýsý Yetersiz
Avcýlar þubenin ATM si belki altý aydýr bozuk derken para yatiramiyoruz;Çalýþmýyor - Hata Veriyor
"Bursa meskendeki bankamatikte sürekli problem var 
Kerameti 2000 TL para yaptýracaðýz 5-6 denemden sonra þanslýysanýz yatirabiliyorsunuz sürekli problem yaþýyorsunuz";Çalýþmýyor - Hata Veriyor
"Para yatýrýyorum bankamatikten bazen
Defalarca tanýmsýz diye geri vermiyor
Ters düz yaparak sonunda kabul ettiriyorum.";Çalýþmýyor - Hata Veriyor
Corumdaki Albaraka ATM lerini yetersiz bulduðum için;ATM Sayýsý Yetersiz
Eft havale ücreti yüksek ve bankanýn kendi ATM Sayýsý çok az. Farklý atm lerden para çekimi yada para yatýrýmý gerçekleþtirdiðim sýrada kesinti oluyor.  Daha fazla atm olmasý gerekli;Ücret Alýnmasý
Maaþýmýn tamamýný tek seferde çekemiyorum.;Para Çekme Limiti Yetersiz
Bulunduðum bölgedeki ATM’nin sýklýkla hizmet dýþý kalmasý;Çalýþmýyor - Hata Veriyor
Yok denecek kadar az ATM niz var para çekerken sürekli masraf ödemek zorunda kalýyorum bu durumda olmayan ATM hizmetinizi nasýl deðerlendirebilirim?;ATM Sayýsý Yetersiz
Þube sayisi az diðer atm ler den komisyon vermek zorunda kaliyoruz.atm sayisidac az;ATM Sayýsý Yetersiz
ATM yetersizliði;ATM Sayýsý Yetersiz
Çünkü atm yok;ATM Sayýsý Yetersiz
Atm aðýr iþliyor, paralarý geçersiz diye geri veriyor bir sonrakine alýyor.;Yavaþ
Para çekmek için kaç þifre gerekiyor bu sýkýntý mobildede var iki sefer þifre gidiyorum birde telefona gelecek kodu giriyorum;Aþýrý Güvenlik
yavaþ ve az veriyor en az 5000 vermesi lazým;Yavaþ
Atm arza verdi ve 1000 TL para veriyor baþka vermedi akþam maðdur kaldým Albaraka atm si çok da bulunmuyorher semtte;Çalýþmýyor - Hata Veriyor
Albaraka atm si bulamýyoruz;ATM Sayýsý Yetersiz
hesap kart basvyrusu yaptým 3 günde elimde oldu;Kart
Zor ulaþýlýr;ATM Sayýsý Yetersiz
Ýstanbul genelinde ATM sayýsý olarak çok yetersizdi;ATM Sayýsý Yetersiz
Ateme arýza gidermemesi;Çalýþmýyor - Hata Veriyor
Ýhtiyacým olduðunda atm þubesini bulmakta çok zorluk çekiyorum;ATM Sayýsý Yetersiz
Yavaþ iþlem yapýyor. Sistemin yenilenmesinde ihtiyaç var..;Yavaþ
Diðer atmlere göre para çekim yatýrma biraz daha teferruat istiyor;Kullanýþsýz
Koca ilçede 1 tane ATM var;ATM Sayýsý Yetersiz
Sadece kendi matiðinden hizmet alýyorum p t t den alamýyorum;PTT
Atm yok ptt atmleri yetersiz, bir rakam üstü bedel ödüyoruz. Bakiyemizi göstermiyor vs.;ATM Sayýsý Yetersiz
Cep telefonu na SMS gönderip kod istemesi gereksiz;Aþýrý Güvenlik
Çok yavaþ ve barkod okumuyor;Yavaþ
Akçaabatta albaraka atemesiyok trabzon akçaabat sögütlü;ATM Sayýsý Yetersiz
Bir telefon numarasý veriyorsunuz ne Ne Ne dediniz anlaþýlmýyor;Anket Anlaþýlmýyor
Para çekme limiti bir türlü yukseltemedim;Para Çekme Limiti Yetersiz
ATM leriniz kartý alýyor geri veriyor iþleminiz yapýlýyor diyor sonra iþlem yapmadan tekrar normale dönüyor ATM lerinizde sýkýntý var iþlemlerimi karekodla yapýyorum bu dediðim ATM sultanciftligi 50 .yýl Mahallesi'ndeki ATM  istanbulda;Çalýþmýyor - Hata Veriyor
Her ilçede yok atemeler;ATM Sayýsý Yetersiz
kartimdaki paranýn tek seferde sadece 3000tl verdiði için;Para Çekme Limiti Yetersiz
Öncelikle bankalarýnýz hariç hiç bir yerde ATM biz yok baþka bankalardan çekim yapýyoruz her Defasýnda 2-3 tl komisyon veriyoruz bu konuda çalýþmalar yapýn ATM açýn ATM niz eksik belli bölgelere bile açsaný bizi þu komisyondan kurtarýn;ATM Sayýsý Yetersiz
ATM ler çok acemi para yatýramýyoruz her zaman içeri girmek zorunda kalýyoruz;Çalýþmýyor - Hata Veriyor
Günlük iþlem limitiniz çok düþük;Para Çekme Limiti Yetersiz
Etmemeden 3000 teleden fazla çekemiyoruz maaþ kartýyla maaþýmýzýn hepsini alamýyoruz birde atemeleriniz yok þubenizdekinden baþka bunun heryerde olmasý gerekmiyormu sadece banka önünde var bu yüzden sýkýntý yaþýyoruz;Para Çekme Limiti Yetersiz
Bazen ATM ler arýzalý oluyor;Çalýþmýyor - Hata Veriyor
ATM bulmakta zorlanýyorum;ATM Sayýsý Yetersiz
Çok sýk arýza yapýp servis dýþý kalmasý;Çalýþmýyor - Hata Veriyor
Bazen hizmet alamýyoruz;Çalýþmýyor - Hata Veriyor
Þube kapandý iletiþim 0;Þube
Atemelerin yetersiz oluþu dan;ATM Sayýsý Yetersiz
Bulunduðum bölgede atm yok ve diðer bankalarýn atm leri çok fazla para kesiyor;ATM Sayýsý Yetersiz
Aþýrý derecede yavaþsýnýz rezalet bir bankasýnýz;Yavaþ
Limitiniz az kendi paramýzý çekemiyoz;Para Çekme Limiti Yetersiz
Ne zaman gittiysem arizali;Çalýþmýyor - Hata Veriyor
Musteri iletiþimi yok bankadanda hiç memnun deyilim maaþ karti ve kere di karti baþ vuruþu yaptýn bir aydir gelemedi müþteri mem nuyetiniz sýfýr;Ýlgisizlik
300 TL para çekmek için tel numaramý girmem gerekiyor maalesef zaman kaybi;Para Çekme Limiti Yetersiz
Sürekli bozuluyor;Çalýþmýyor - Hata Veriyor
Günlük Limit Yetersiz.;Para Çekme Limiti Yetersiz
Çok yavaþ karýþýk;Yavaþ
03.09.2022 Cumartesi  günü para vermedi ATM;Çalýþmýyor - Hata Veriyor
Herþeyde onay aldýktan sonra tekrar bir onay kodu daha istemesi;Aþýrý Güvenlik
atm iþlemcisi çook yavaþ, 100? lik banknotlarý tanýmýyor, çok iðrenç;Yavaþ
Atm ler çoðu zaman çalýþmýyor, hizmet dýþý;Çalýþmýyor - Hata Veriyor
Her yerde yok o yüzden;ATM Sayýsý Yetersiz
Maaþ çekmeye gittiðim zaman tek seferde alamýyorum;Para Çekme Limiti Yetersiz
Bugun para cekeyim dedim karti yuttu sultangazi 50.yil mah b cad uzerindeki atm de;Çalýþmýyor - Hata Veriyor
Müþteri hizmetlerine ulaþmak ölüm;Çaðrý Merkezi
Devamlý arýzalý.;Çalýþmýyor - Hata Veriyor
Atm yeterli kadar yok;ATM Sayýsý Yetersiz
Koskoca ereðli de tek atm var oda 1950 model;ATM Sayýsý Yetersiz
Fazla ozellik ve müþteriyi düþünen ayrýntýlar yok;Fonksiyon Eksikliði
Atm sayýsý çok az ve günlük çekim miktarý yeterli deðil;ATM Sayýsý Yetersiz
Sayýlarý az. Ptt ile yeterli ölçüde iþlem yapamýyoruz. Baþka bankalara eft yaparak iþimi gördüðüm çok oldu. Sizi seviyorum ama adýnýza üzülüyorum. Allah kolaylýklar versin.;ATM Sayýsý Yetersiz
Atm sayýsý çok az para yükleyip çekmek çok sýkýntý oluyor;ATM Sayýsý Yetersiz
Günlerdir kredi kartý baþvurusu yapamýyorum çalýþýyorum bu sebepten þubeye de gidemiyorum;Kart
Bazý zamanlar para yok diyor;Nakit Bulunmuyor
Atemez olmadýðý için baþka atm'lerden çekip paralarýmýz kesiliyor bu da haramdýr;ATM Sayýsý Yetersiz
Atm niz yok bulunduðum ilçede;ATM Sayýsý Yetersiz
Atemeler Koç yavaþ iþlem görüyor yatýrýrken çok zamanýmýzý alýyor;Yavaþ
Atm olmamasý ve 5, 15 ten sonra eftler ücretli olöasý;ATM Sayýsý Yetersiz
Atm yetersiz;ATM Sayýsý Yetersiz
ATM ler yetersiz;ATM Sayýsý Yetersiz
Çok yavaþ;Yavaþ
Atemeler malesef her yerde yoktur. Bazýlarýda arýzali çikiyor.  Ayrýca kýredi kartý  ziyadesiyle kabul edýlmiyor. Okul ödemelerýnde  istemiyerek baþka FENAS bankalarýna yöneliyoruz. Bu bankada yýllarca olmam sebebi HELÂL V HARAM noktasýndaki durumudur.?;ATM Sayýsý Yetersiz
ATM bulunurlugu zayýf.;ATM Sayýsý Yetersiz
"Ortak atmlerde bile para kesintisi oluyor  
Daha iyi hizmet sunabilmek adýna atm sayýnýzý artýrabilirsiniz";Ücret Alýnmasý
Çünkü daha hiç sin atm nizden para çekmedim;ATM Sayýsý Yetersiz
Albaraka atmsi nin kolay kolay bulunamamasý;ATM Sayýsý Yetersiz
Atm sayýnýz çok az.;ATM Sayýsý Yetersiz
Yakýnýmda bir çok ATM varken albarak atmsi benden 3 km uzakta;ATM Sayýsý Yetersiz
Hiçbir ATM biz çalýþmýyor sadece bankalarýn önündekiler çalýþýyor benim denk geldiklerim hepsi böyleydi;Çalýþmýyor - Hata Veriyor
yeterince atm yok bazi ptt atm leri calismiyor cogaltilmasi lazim atm lerin;ATM Sayýsý Yetersiz
Atm sayýnýz az. Maðdurýyet yasanýyor;ATM Sayýsý Yetersiz
Atm ler çok fazla soruyor;Aþýrý Güvenlik
Çok yetersiz ATM þubeniz mevcut;ATM Sayýsý Yetersiz
Maþýmýn tamamýný vermiyor;Para Çekme Limiti Yetersiz
Kendini güncellemeyen bir banka malesefmibil bankacýlýðý ve ATM berbat ayrýca PTT atmlerinde para cekemiyiruz sorunlu;Genel Memnuniyetsizlik
Atm ler çoðu bozuk yada çalýþmýyor özellikle bursa meskendeki;Çalýþmýyor - Hata Veriyor
Defalarca Gaziantep Suburcudaki Bankatik .ya bozuk. Ya içinde para yok.defalarca;Çalýþmýyor - Hata Veriyor
ATM sayýsý çok az;ATM Sayýsý Yetersiz
Koca bir þehirde sadece bir atm var o nedenle;ATM Sayýsý Yetersiz
Çok yavaþ;Yavaþ
Karekodlu iþlemler yetersiz;Fonksiyon Eksikliði
Para çekimlerinde pin istemesi;Aþýrý Güvenlik
Atm sayýsý çok az;ATM Sayýsý Yetersiz
çünkü atm Nizip kullanamýyorum bulunduðum yerde atm niz yok baþvuruda bulunduk ama sonuç cikmadi;ATM Sayýsý Yetersiz
Nakit çekme limitinin düþük olmasý ve yeterli ATM nin olmayýþý;Para Çekme Limiti Yetersiz
Genelde bozuk;Çalýþmýyor - Hata Veriyor
Çok uðraþýyorum;Kullanýþsýz
Atme yok;ATM Sayýsý Yetersiz
Albarakanýn sermayesi faizsizdir paranýza pislik bulaþmaz lakin manisada 1 adet banka matiði var ve para çekmek için çarþýya ðitmeniz ðerek bunun içinse 15 ðidiþ 15 ðeliþ 30 tl üçret ödemeniz ðerekir 8 ekmek parasý ödemelisiniz ptt ile anlaþmýþ lar para çekebiliyosun yanlýz limitli ve limiti askeri üçret kadar bile deðil aylýk çekebiliceniz üçret aylýk ptt banka matiklerinden çekebiliceniz miktar aylik 3 binlira üstünü çekerseniz para talep ediyorlar derdim onlarda hiç düþünmeden kasabalarda bile bulunan Ziraati yada Deniz bank ý seçerlerdi herhalde;ATM Sayýsý Yetersiz
Fazla atm olmayýþý.;ATM Sayýsý Yetersiz
